day,date,food/drink,taste,feeling
1,9,Ice caffee,6,4
1,11.3,Small pepperoni pizza,7.5,8
1,21.15,Two meat pies,8,6
2,10.3,Coffee,7,3
2,11.35,Lasagna,9,9
2,17.55,Vegan sandwich,8,7
2,21.05,Burger,9,6
3,12.3,Pancake,7,7
3,14,Coffee,6,4
3,15.3,Coffee,3,5
3,18,Pasta,9,9
3,21,Oreo,6,2
3,23.15,Chuar,7,5
4,4.15,Chicken Burger,5,5
4,12.3,Burger,8,8
4,20,Pasta,8,8
5,16.3,Pancake,8,6
5,20.15,Two burgers ,8,9
6,9.15,Caffee,6,6
6,11.3,Chicken,9,9
6,15.15,Caffee,4,4
6,18,Halal soup,8,7
6,22.3,Chips,4,4
7,9.1,Caffee,7,5
7,11.35,Hummus Sandwich,5,9
7,19,Noodles,8,9
